Дата,Авиаотделение,Метеостанция,Температура,Точка_росы,Время_измерения,Осадки,Высота_снега,КППО_1,Класс_ПО_1,КППО_2,Класс_ПО_2,КППО_3,Класс_ПО_3,Пред_день,Ночь,Признак_снега
2025-06-04,,28457 : Далматово,22.9,13.1,14:00,4.0,0,224,1,480,2,6962,4,1,1,1
2025-06-04,,28756 : Звериноголовское,23.2,7.8,14:00,0.0,0,1514,3,1227,3,5107,4,1,1,0
2025-06-04,,28873 : Красноармейск,26.6,12.4,14:00,8.1,0,378,2,310,2,11582,5,1,1,0
2025-06-04,,28661 : Курган,19.3,14.6,14:00,0.1,0,5168,4,1271,3,8787,4,1,1,0
2025-06-04,,28659 : Куртамыш,22.9,6.9,14:00,0.0,0,5473,4,1976,3,7858,4,1,1,0
2025-06-04,,28662 : Лебяжье,17.0,11.7,14:00,0.1,0,6190,4,6121,4,6436,4,1,1,0
2025-06-04,,28875 : Летовочная,22.2,12.1,14:00,4.0,0,224,1,420,2,3318,3,0,0,0
2025-06-04,,28666 : Макушино,15.1,13.1,14:00,0.0,0,3606,3,3583,3,4308,4,1,1,0
2025-06-04,,28856 : Михайловка,20.5,7.7,14:00,0.0,0,8630,4,6550,4,8186,4,1,1,0
2025-06-04,,28861 : Новопокровка,21.4,9.1,14:00,0.4,0,1223,3,873,2,3227,3,0,0,0
2025-06-04,,28561 : Памятная,17.1,13.8,14:00,0.1,0,7188,4,916,2,7073,4,1,1,0
2025-06-04,,28674 : Петухово,15.7,11.9,14:00,0.4,0,4284,4,2466,3,4734,4,1,1,0
2025-06-04,,28668 : Половинное,23.2,8.5,14:00,0.0,0,4507,4,4498,4,4986,4,1,1,0
2025-06-04,,28764 : Пресногорьковка,22.6,8.2,14:00,0.0,0,4860,4,4843,4,5172,4,1,1,0
2025-06-04,,28862 : Свх.Восход,22.0,9.7,14:00,0.1,0,4000,3,1451,3,3931,3,1,1,0
2025-06-04,,28863 : Сергеевка,22.1,9.4,14:00,2.1,0,3967,3,830,2,3578,3,1,1,0
2025-06-04,,28752 : Целинное,22.6,7.8,14:00,0.5,0,5330,4,5288,4,7468,4,1,1,1
2025-06-04,,28779 : Чаглы,23.8,14.0,14:00,4.6,0,233,1,320,2,4030,4,0,0,0
2025-06-04,,28552 : Шадринск,24.7,13.4,14:00,6.0,0,279,1,350,2,9272,4,1,1,1
2025-06-04,,28456 : Шатрово,24.1,13.1,14:00,6.0,0,265,1,130,1,5842,4,1,1,1
2025-06-04,,28655 : Шумиха,22.1,13.1,14:00,0.1,0,8192,4,6728,4,10074,5,1,1,1
2025-06-04,,28775 : Явленка,21.2,14.0,14:00,3.1,0,153,1,590,2,2743,3,1,1,0
2025-07-14,,28457 : Далматово,22.8,11.2,14:00,0.0,0,1155,3,1511,3,2744,3,1,1,1
2025-07-14,,28756 : Звериноголовское,21.7,13.1,14:00,0.0,0,2047,3,2033,3,2738,3,1,1,0
2025-07-14,,28873 : Красноармейск,17.2,12.9,14:00,0.0,0,2662,3,1496,3,20854,5,1,1,0
2025-07-14,,28661 : Курган,22.9,10.0,14:00,0.0,0,2129,3,2225,3,1899,3,1,1,0
2025-07-14,,28659 : Куртамыш,23.4,10.6,14:00,0.0,0,2181,3,2562,3,5080,4,1,1,0
2025-07-14,,28662 : Лебяжье,21.3,12.9,14:00,2.1,0,1813,3,910,2,2841,3,1,1,0
2025-07-14,,28875 : Летовочная,16.9,13.9,14:00,0.0,0,2286,3,1200,3,2201,3,0,0,0
2025-07-14,,28666 : Макушино,20.5,13.3,14:00,0.1,0,1926,3,1683,3,2061,3,1,1,0
2025-07-14,,28856 : Михайловка,18.3,11.0,14:00,0.0,0,3002,3,2908,3,4190,4,1,1,0
2025-07-14,,28861 : Новопокровка,19.5,11.3,14:00,0.0,0,2587,3,1724,3,2288,3,0,0,0
2025-07-14,,28561 : Памятная,20.2,10.5,14:00,1.0,0,1856,3,1170,3,3322,3,1,1,0
2025-07-14,,28674 : Петухово,18.5,11.8,14:00,0.0,0,2476,3,1565,3,2581,3,1,1,0
2025-07-14,,28668 : Половинное,20.5,13.5,14:00,0.0,0,1784,3,1799,3,1873,3,1,1,0
2025-07-14,,28764 : Пресногорьковка,18.9,12.3,14:00,0.0,0,1978,3,2017,3,4943,4,1,1,0
2025-07-14,,28862 : Свх.Восход,17.9,13.9,14:00,0.0,0,1367,3,1532,3,5906,4,1,1,0
2025-07-14,,28863 : Сергеевка,15.8,14.8,14:00,0.0,0,2233,3,1415,3,2531,3,1,1,0
2025-07-14,,28752 : Целинное,23.6,12.0,14:00,0.0,0,2262,3,2020,3,8998,4,1,1,1
2025-07-14,,28779 : Чаглы,16.8,15.1,14:00,1.0,0,1726,3,470,2,1608,3,0,0,0
2025-07-14,,28552 : Шадринск,23.8,10.2,14:00,0.0,0,2062,3,1629,3,3228,3,1,1,1
2025-07-14,,28456 : Шатрово,22.3,4.8,14:00,0.1,0,2403,3,2244,3,3149,3,1,1,1
2025-07-14,,28655 : Шумиха,22.5,10.4,14:00,0.0,0,4390,4,2197,3,5166,4,1,1,1
2025-07-14,,28775 : Явленка,16.9,14.3,14:00,0.0,0,2296,3,1847,3,3259,3,1,1,0
2025-08-21,,28457 : Далматово,21.2,13.0,14:00,1.0,0,1616,3,860,2,1833,3,1,1,1
2025-08-21,,28756 : Звериноголовское,17.7,13.6,14:00,15.0,0,73,1,80,1,621,2,1,1,0
2025-08-21,,28873 : Красноармейск,21.7,9.3,14:00,0.5,0,1454,3,1074,3,1554,3,1,1,0
2025-08-21,,28661 : Курган,20.4,12.1,14:00,11.0,0,169,1,220,1,366,2,1,1,0
2025-08-21,,28659 : Куртамыш,18.6,11.5,14:00,18.0,0,132,1,100,1,67,1,1,1,0
2025-08-21,,28662 : Лебяжье,18.5,5.8,14:00,2.5,0,1385,3,880,2,5776,4,1,1,0
2025-08-21,,28875 : Летовочная,18.6,12.1,14:00,1.2,0,863,2,550,2,692,2,0,0,0
2025-08-21,,28666 : Макушино,20.1,11.8,14:00,2.1,0,841,2,500,2,668,2,1,1,0
2025-08-21,,28856 : Михайловка,18.2,12.1,14:00,0.1,0,1070,3,641,2,1555,3,1,1,0
2025-08-21,,28861 : Новопокровка,17.3,12.4,14:00,4.9,0,85,1,190,1,943,2,0,0,0
2025-08-21,,28561 : Памятная,19.2,14.2,14:00,3.0,0,96,1,500,2,2071,3,1,1,0
2025-08-21,,28674 : Петухово,18.9,9.3,14:00,3.0,0,181,1,380,2,2857,3,1,1,0
2025-08-21,,28668 : Половинное,17.4,12.9,14:00,3.0,0,78,1,430,2,2030,3,1,1,0
2025-08-21,,28764 : Пресногорьковка,14.7,12.1,14:00,3.4,0,38,1,610,2,5587,4,1,1,0
2025-08-21,,28862 : Свх.Восход,15.1,14.0,14:00,0.1,0,999,2,998,2,2757,3,1,1,0
2025-08-21,,28863 : Сергеевка,15.1,10.2,14:00,0.2,0,1017,3,995,2,2140,3,1,1,0
2025-08-21,,28752 : Целинное,20.0,11.8,14:00,1.6,0,398,2,540,2,5145,4,1,1,1
2025-08-21,,28779 : Чаглы,20.3,13.2,14:00,3.2,0,144,1,260,1,543,2,0,0,0
2025-08-21,,28552 : Шадринск,20.4,14.0,14:00,11.0,0,131,1,0,1,1440,3,1,1,1
2025-08-21,,28456 : Шатрово,17.7,11.3,14:00,5.0,0,113,1,330,2,5291,4,1,1,1
2025-08-21,,28655 : Шумиха,19.2,11.4,14:00,0.6,0,392,2,300,1,2043,3,1,1,1
2025-08-21,,28775 : Явленка,19.6,12.1,14:00,0.1,0,897,2,742,2,2219,3,1,1,0
